Number_of_R: 45
Number_of_Wannier_functions: 16
Hamiltonian:  
============================================================
index of R: 0.  R = [-1 -1 -2]
R = [-1 -1 -2], i = 0, j=0 :: H(i,j,R)= 0.0193-0.0063j 
R = [-1 -1 -2], i = 0, j=1 :: H(i,j,R)= 0.0032-0.0062j 
R = [-1 -1 -2], i = 0, j=2 :: H(i,j,R)= -0.0357+0.0056j 
R = [-1 -1 -2], i = 0, j=3 :: H(i,j,R)= 0.0205+0.0004j 
R = [-1 -1 -2], i = 0, j=4 :: H(i,j,R)= 0.0382-0.0025j 
R = [-1 -1 -2], i = 0, j=5 :: H(i,j,R)= 0.0362-0.0042j 
R = [-1 -1 -2], i = 0, j=6 :: H(i,j,R)= 0.0048-0.0031j 
R = [-1 -1 -2], i = 0, j=7 :: H(i,j,R)= -0.0429+0.0089j 
R = [-1 -1 -2], i = 0, j=8 :: H(i,j,R)= -0.0467+0.0097j 
R = [-1 -1 -2], i = 0, j=9 :: H(i,j,R)= 0.0017+0.0040j 
R = [-1 -1 -2], i = 0, j=10 :: H(i,j,R)= 0.0046+0.0094j 
R = [-1 -1 -2], i = 0, j=11 :: H(i,j,R)= 0.0110-0.0050j 
R = [-1 -1 -2], i = 0, j=12 :: H(i,j,R)= 0.0287+0.0036j 
R = [-1 -1 -2], i = 0, j=13 :: H(i,j,R)= -0.0307-0.0037j 
R = [-1 -1 -2], i = 0, j=14 :: H(i,j,R)= 0.0214+0.0033j 
R = [-1 -1 -2], i = 0, j=15 :: H(i,j,R)= -0.0078-0.0014j 
R = [-1 -1 -2], i = 1, j=0 :: H(i,j,R)= 0.0032-0.0062j 
R = [-1 -1 -2], i = 1, j=1 :: H(i,j,R)= 0.0263-0.0058j 
R = [-1 -1 -2], i = 1, j=2 :: H(i,j,R)= -0.0206+0.0098j 
R = [-1 -1 -2], i = 1, j=3 :: H(i,j,R)= 0.0209-0.0118j 
R = [-1 -1 -2], i = 1, j=4 :: H(i,j,R)= 0.0363-0.0079j 
R = [-1 -1 -2], i = 1, j=5 :: H(i,j,R)= 0.0361-0.0074j 
R = [-1 -1 -2], i = 1, j=6 :: H(i,j,R)= -0.0063+0.0008j 
R = [-1 -1 -2], i = 1, j=7 :: H(i,j,R)= -0.0432+0.0104j 
